"YEAR","NEW_STA","Hbt","Hbt_var","Cbt","Cbt_var"
1981,"VA",0.281980059256857,0.000556358693775222,0.718019940743143,0.000867090768709143
1981,"MD",0.159020345013917,0.00000396526687439209,0.840979654986083,0.0000983940209463411
1981,"DE",0.377964453418451,0.0000189699935960119,0.622035546581549,0.000108621910604443
1981,"NJ",0.212930649096195,0.00000177103053108673,0.787069350903805,0.000057718458641579
1981,"NY",0.451466615208335,0.0000104613095111028,0.548533384791665,0.0000615482706169217
1981,"CT",0.245203347311082,0.0000334693307500561,0.754796652688918,0.000104723040498289
1981,"RI",0.568998558278784,0.000315595335889754,0.431001441721216,0.000368273701355424
1981,"MA",0.402904459287624,0.00020921723262558,0.597095540712376,0.00105012241769825
1981,"NH",1,0.0000614874220570297,0,0
1981,"ME",0.965351957863753,0.00161403983211049,0.0346480421362467,0.0000142346489377632
1982,"VA",0.828733048346771,0.00234372698571977,0.171266951653229,0.00010314179015751
1982,"MD",0.0647739964939271,0.00000313168340482361,0.935226003506073,0.000900692109467903
1982,"DE",0.84342943444175,0.00072135315141737,0.15657056555825,0.000192955756569418
1982,"NJ",0.407261296361144,0.0000731919604993567,0.592738703638857,0.000591901515075063
1982,"NY",0.593048343634348,0.000139135381976272,0.406951656365652,0.000439547790230171
1982,"CT",0.268927232171321,0.00011643026504094,0.731072767828679,0.0018260209860568
1982,"RI",0.229895472906757,0.0000108079179127585,0.770104527093243,0.000130530368588799
1982,"MA",0.576288855845112,0.000109073576793571,0.423711144154888,0.000172784880757789
1982,"NH",1,0.00012598909065924,0,0
1982,"ME",0.775065927874343,0.000148968264620766,0.224934072125657,0.0000550664099395713
1983,"VA",0.239707030948571,0.0000192853664918763,0.760292969051429,0.000245490298181245
1983,"MD",0.247539703514601,0.00000116897785967526,0.752460296485399,0.000010237737681033
1983,"DE",0.806808720965122,0.000170570551124969,0.193191279034878,0.00021254159682261
1983,"NJ",0.457944683216344,0.0000966021638767621,0.542055316783656,0.000581834824344739
1983,"NY",0.676976320376501,0.000575740374790552,0.323023679623499,0.00137332230897622
1983,"CT",0.505605942965252,0.00155059495248913,0.494394057034748,0.00751092707059829
1983,"RI",0.09274786316917,0.00000352653895174749,0.90725213683083,0.000577256257993625
1983,"MA",0.889477446481726,0.0000136973612265414,0.110522553518274,0.00000509824520146065
1983,"NH",0.953163228863143,0.0000538694442388694,0.0468367711368569,0.0000000885222477332363
1983,"ME",0.821208711879549,0.000128357411435331,0.178791288120451,0.0000737213157404849
1984,"VA",0.532771054306932,0.000117072419531648,0.467228945693068,0.000166648119878962
1984,"MD",0.393856016257335,0.0000482102699061711,0.606143983742665,0.000358366171470397
1984,"DE",0.379157888891597,0.0000311095659548085,0.620842111108403,0.0000493242219900506
1984,"NJ",0.481723269311576,0.0000763984681633867,0.518276730688424,0.00034532808883979
1984,"NY",0.921750483645519,0.000109989524738557,0.0782495163544812,0.0000970823479777332
1984,"CT",0.773182807238425,0.000534687370931468,0.226817192761575,0.0000531472609532512
1984,"RI",0.281119800866002,0.0000100805411034926,0.718880199133998,0.000138803574252033
1984,"MA",0.391071943865614,0.00000347765781195027,0.608928056134386,0.0000213720874351988
1984,"NH",1,0.0000596983680135753,0,0
1984,"ME",0.851427633130112,0.0000294225940921955,0.148572366869888,0.00000536742038431519
1985,"VA",0.304475294754784,0.00000980556737036305,0.695524705245216,0.000104781637024648
1985,"MD",0.315071078526453,0.000000783028902295437,0.684928921473547,0.00000515169532147888
1985,"DE",0.681914434586529,0.0000551486623646604,0.318085565413471,0.0000892158253058072
1985,"NJ",0.670913165003638,0.0000345207971102481,0.329086834996362,0.0000283031501525717
1985,"NY",0.389207588373301,0.000297738254227902,0.610792411626698,0.00267978150543592
1985,"CT",0.494799119737549,0.000253827135638267,0.505200880262451,0.00121941715173863
1985,"RI",0.217467643322468,0.000105921362742447,0.782532356677532,0.000518195662121203
1985,"MA",0.424466972075938,0.0000617989364618347,0.575533027924062,0.000423586213472871
1985,"NH",0.405186719973017,0.000663323293884334,0.594813280026983,0.000750571892192689
1985,"ME",0.520621416478713,0.000469901752303876,0.479378583521287,0.00167889143934755
1986,"VA",0.326058566682194,0.00000359076597264341,0.673941433317806,0.0000174923177685937
1986,"MD",0.326341460015668,0.00000782916424458127,0.673658539984332,0.0000768419556867454
1986,"DE",0.535050075433531,0.0000104295473643887,0.464949924566469,0.0000296230972397505
1986,"NJ",0.404475082681017,0.0000221083069452768,0.595524917318983,0.000124506948956222
1986,"NY",0.660417239745494,0.00000428216878389963,0.339582760254506,0.00000861655181966822
1986,"CT",0.398345868326784,0.0000399482817428846,0.601654131673216,0.000255968723340879
1986,"RI",0.110622857137962,0.00000206089621176689,0.889377142862038,0.000186591069009795
1986,"MA",0.595625399138222,0.000014472513643397,0.404374600861778,0.0000291884531286204
1986,"NH",0.999473523224572,0.000227247224594738,0.000526476775427643,0.0000000000315105275177801
1986,"ME",0.925277765828335,0.0000319454621752317,0.0747222341716647,0.00000321319119197672
1987,"VA",0.174634446624099,0.0000144368886994537,0.825365553375901,0.000553784998588964
1987,"MD",0.131145528456663,0.00000108708065879769,0.868854471543337,0.0000623272865347377
1987,"DE",0.519142263853352,0.0000954707873939169,0.480857736146648,0.000330584129987546
1987,"NJ",0.325805352209611,0.0000175567712706089,0.674194647790389,0.000228348002871311
1987,"NY",0.420429671680267,0.000060282210016285,0.579570328319733,0.000383961568872087
1987,"CT",0.458922810952177,0.0000495090521464667,0.541077189047823,0.000226471266008301
